"","X","id","dia","sentence","rating","Blocking","Identidy"
"220",55,"S055","sou","s4",7,"no","yes"
"221",56,"S056","sou","s1",6,"yes","no"
"222",56,"S056","sou","s2",6,"no","no"
"223",56,"S056","sou","s3",6,"no","yes"
"224",56,"S056","sou","s4",7,"no","yes"
"225",57,"S057","sou","s1",5,"yes","no"
"226",57,"S057","sou","s2",6,"no","no"
"227",57,"S057","sou","s3",7,"no","yes"
"228",57,"S057","sou","s4",7,"no","yes"
"229",58,"S058","sou","s1",6,"yes","no"
"230",58,"S058","sou","s2",5,"no","no"
"231",58,"S058","sou","s3",7,"no","yes"
"232",58,"S058","sou","s4",7,"no","yes"
"233",59,"S059","sou","s1",4,"yes","no"
"234",59,"S059","sou","s2",5,"no","no"
"235",59,"S059","sou","s3",6,"no","yes"
"236",59,"S059","sou","s4",7,"no","yes"
"237",60,"S060","sou","s1",6,"yes","no"
"238",60,"S060","sou","s2",6,"no","no"
"239",60,"S060","sou","s3",7,"no","yes"
"240",60,"S060","sou","s4",7,"no","yes"
"241",61,"S061","sou","s1",5,"yes","no"
"242",61,"S061","sou","s2",6,"no","no"
"243",61,"S061","sou","s3",7,"no","yes"
"244",61,"S061","sou","s4",7,"no","yes"
"245",62,"S062","sou","s1",3,"yes","no"
"246",62,"S062","sou","s2",5,"no","no"
"247",62,"S062","sou","s3",6,"no","yes"
"248",62,"S062","sou","s4",7,"no","yes"
"249",63,"S063","sou","s1",7,"yes","no"
"250",63,"S063","sou","s2",7,"no","no"
"251",63,"S063","sou","s3",7,"no","yes"
"252",63,"S063","sou","s4",7,"no","yes"
"253",64,"S064","sou","s1",6,"yes","no"
"254",64,"S064","sou","s2",5,"no","no"
"255",64,"S064","sou","s3",7,"no","yes"
"256",64,"S064","sou","s4",7,"no","yes"
"257",65,"S065","sou","s1",5,"yes","no"
"258",65,"S065","sou","s2",5,"no","no"
"259",65,"S065","sou","s3",6,"no","yes"
"260",65,"S065","sou","s4",7,"no","yes"
"261",66,"S066","sou","s1",5,"yes","no"
"262",66,"S066","sou","s2",6,"no","no"
"263",66,"S066","sou","s3",7,"no","yes"
"264",66,"S066","sou","s4",7,"no","yes"
"265",67,"S067","sou","s1",6,"yes","no"
"266",67,"S067","sou","s2",6,"no","no"
"267",67,"S067","sou","s3",7,"no","yes"
"268",67,"S067","sou","s4",6,"no","yes"
"269",68,"S068","sou","s1",5,"yes","no"
"270",68,"S068","sou","s2",6,"no","no"
"271",68,"S068","sou","s3",7,"no","yes"
